Crash ID,County,Crash Severity,Crash Time,Day of Week,Latitude,Longitude,Weather Condition
12167305,Harris,Not Injured,2345,Friday,29.784643,-95.57242006,Clear
12202634,Harris,Possible Injury,2236,Friday,29.82169479,-95.49760305,Clear
12418175,Harris,Non-Incapacitating Injury,30,Friday,30.04199474,-95.13623314,Clear
12589207,Harris,Non-Incapacitating Injury,215,Friday,29.60391891,-95.21955053,Clear
12809716,Harris,Not Injured,2320,Friday,29.78406145,-95.47112463,Clear
12155585,Harris,Not Injured,215,Saturday,29.79982479,-95.38480308,Clear
12182893,Harris,Not Injured,2210,Saturday,29.7480548,-95.39357308,Clear
12288983,Harris,Killed,1900,Saturday,29.62079585,-95.29361692,Clear
12352627,Harris,Not Injured,2015,Saturday,29.7536307,-95.38306893,Clear
12738954,Harris,Killed,315,Saturday,29.79867862,-95.37173727,Clear
12141956,Harris,Possible Injury,1900,Sunday,29.92204256,-95.41231703,Clear
12155670,Harris,Unknown,1900,Sunday,29.68800207,-95.55819795,Clear
12155698,Harris,Not Injured,1930,Sunday,29.7334556,-95.41863152,Clear
12167360,Harris,Not Injured,200,Sunday,29.82174654,-95.51995176,Clear
12167391,Harris,Not Injured,1930,Sunday,29.8038812,-95.32267898,Clear
12167395,Harris,Not Injured,2124,Sunday,29.77514849,-95.21787333,Clear
12202668,Harris,Incapacitating Injury,559,Sunday,29.67503483,-95.55522304,Clear
12531770,Harris,Non-Incapacitating Injury,345,Sunday,29.73156481,-95.50132306,Clear
12713095,Harris,Non-Incapacitating Injury,214,Sunday,29.8009533,-95.39915513,Clear
12332583,Harris,Killed,120,Monday,29.73781138,-95.48482755,Clear
12715732,Fort Bend,Killed,812,Monday,29.60150477,-95.50759995,Clear
12909924,Harris,Not Injured,125,Monday,29.77072259,-95.36549501,Clear
12168428,Harris,Not Injured,150,Tuesday,29.73419222,-95.41865308,Clear
12168482,Harris,Not Injured,1820,Tuesday,29.67243645,-95.27784376,Clear
12269425,Harris,Killed,40,Tuesday,29.60573857,-95.20464519,Clear
12167759,Harris,Possible Injury,539,Wednesday,29.783822,-95.48179195,Clear
12809816,Harris,Non-Incapacitating Injury,2350,Wednesday,29.74611558,-95.37530165,Cloudy
